userID,groupID,daycnt,playtime,payamount,countents1,countents2,contents3,contents4,contents5,dailyquest,weeklyquest,marketbuy,marketsell
30BD11,1,7,38.84,0,17,7,0,2,27058,10,0,8,34
486835,1,7,41.555,0,0,7,0,0,11160,0,0,2,90
A42776,5,3,6.086944444,0,1,0,0,1,7496,1,0,34,0
218FEA,5,2,2.531666667,0,13,1,0,1,2655,0,0,0,1
7987D6,9,7,47.10444444,0,111,3,0,12,26806,38,0,20,33
79B8A0,2,1,0.025277778,0,0,0,0,0,0,0,0,0,0
2409B7,5,2,0.374166667,0,0,0,0,0,0,0,0,0,0
D6D121,3,7,18.22972222,0,24,0,0,0,12426,46,0,3,0
2FC738,2,1,2.183055556,0,0,0,0,0,5428,0,0,0,0
D3DBD6,2,1,0.395,0,0,0,0,0,0,1,0,3,1
5FD20E,3,7,34.76222222,0,36,0,0,1,22171,17,0,53,6
F729F3,2,1,0.324444444,0,0,0,0,0,26,0,0,0,0
1375BD,6,7,11.38305556,0,18,0,0,0,8612,24,1,0,0
7AFFC1,2,1,2.150277778,0,0,0,0,0,7205,0,0,3,2
D38824,6,7,19.19444444,0,37,0,0,0,8810,12,0,26,22
DFB540,2,1,0.369166667,0,10,0,0,0,42,0,0,1,0
39DBC5,4,6,1.241944444,0,6,5,0,0,2271,0,0,2,0
39FDD9,6,7,13.03,190.6799083,9,0,0,1,5813,0,0,3,29
6A7FE9,4,7,5.210277778,0,2,6,0,0,5580,0,0,2,0
17B4A0,9,7,25.72638889,0,107,6,0,6,25426,35,0,3,62
F5C4D0,2,1,0.280555556,0,0,0,0,0,0,0,0,0,0
E0691A,2,1,1.209166667,0,0,0,0,0,957,5,0,0,0
6B9E1E,1,7,26.11138889,0,0,7,0,0,5928,1,0,2,56
210D66,6,7,56.47916667,0,0,0,0,0,1906,0,0,0,0
A3E582,5,3,3.235277778,0,0,0,0,0,145,1,0,2,2
304F2E,1,7,15.70527778,0,1,2,0,4,12840,1,0,2,0
E8A481,4,7,13.95583333,0,16,5,0,0,11610,7,0,0,0
3F29AB,8,7,17.58861111,0,48,7,0,8,16846,16,0,4,2
C017CD,7,7,36.02472222,0,57,1,0,6,22154,78,1,20,81
6F14FA,9,7,52.86111111,0,30,5,0,7,21237,10,0,7,7
948F43,5,2,3.165277778,0,11,0,0,0,0,1,0,1,10
FB0B19,1,6,12.32694444,0,14,3,0,2,10650,13,1,65,0
3E1EAE,3,7,83.94416667,0,17,0,0,7,9970,32,0,134,17
D4D9E5,9,7,85.375,0,0,3,0,0,36306,1,0,18,48
41176D,2,1,0.013611111,0,0,0,0,0,0,0,0,0,0
277090,3,7,14.73916667,0,11,1,0,2,21347,20,0,0,11
B2CB75,2,1,4.586944444,45.37815126,0,0,0,0,4414,1,0,26,7
104C9C,6,7,122.0983333,0,0,0,0,0,24211,0,0,4,12
77306C,6,6,9.850833333,0,0,0,0,0,3856,2,2,0,0
7770D9,5,2,0.689166667,0,0,0,0,0,0,0,0,0,0
D62361,6,7,117.8416667,0,0,0,0,0,31733,0,0,8,10
FF2D22,3,7,54.88861111,0,0,0,0,2,15205,34,1,0,0
5CF8C8,6,7,40.12638889,0,67,0,0,3,5590,1,0,1,0
B40E6F,8,6,46.395,458.3651642,34,4,0,0,14991,28,1,57,7
AFBAA8,5,3,4.521666667,0,15,0,0,0,3922,1,0,0,2
F8E7B7,6,5,6.266388889,0,3,0,0,1,5487,19,1,0,0
756651,5,2,1.881944444,0,13,0,0,0,2520,0,14,0,6
560D79,1,7,28.28111111,1.871657754,0,7,0,0,16084,0,0,5,0
FF6605,6,4,29.32222222,0,0,0,0,0,0,0,0,1,0
E9C5AE,5,4,1.699722222,0,0,0,0,0,3977,0,0,2,0
5918AD,2,1,0.175833333,0,0,0,0,0,163,2,0,0,0
DFE517,6,7,34.44527778,7.56302521,28,0,0,0,6174,7,0,4,0
DDC628,2,1,0.153611111,0,1,0,0,0,0,1,0,0,0
8990A9,5,2,9.851111111,0,0,0,0,1,1184,0,0,1,0
37B348,8,7,56.33472222,0,173,4,0,0,16945,30,1,0,37
7.24E+09,6,4,13.73583333,0,0,0,0,0,9731,1,0,1,0
5E79B1,7,7,88.7825,2.406417112,45,7,0,13,28487,89,1,12,37
DAA860,6,5,7.564166667,0,15,2,0,0,2850,1,0,0,0
